INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT		INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1000027	灰色空姐服	icon_clothes125	1			1	1	20024	body15_06	3199	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199							
1000028	风情白领	icon_clothes126	1			1	1	20025	body07_02	3299	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3299							
1000029	干练ol	icon_clothes127	1			1	1	20026	body07_03	3299	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3299		1					
1000030	成熟ol	icon_clothes128	1			1	1	20027	body07_04	3299	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3299		1					
1000031	复古学生服*灰	icon_clothes129	1			1	1	20028	body10_03	2399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2399							
1000032	梅花香	icon_clothes130	1			1	1	20029	body10_04	2399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2399							
1000033	深闺蜜秀	icon_clothes131	1			1	1	20030	body10_05	2399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2399		1					
1000034	水墨风情	icon_clothes132	1			1	1	20031	body10_06	2399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2399		1					
1000035	纯情少女	icon_clothes133	1			1	1	20032	body36_02	3399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399							
1000036	热力四射	icon_clothes134	1			1	1	20033	body36_03	3399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399		1					
1000037	大眼瞪瞪	icon_clothes135	1			1	1	20034	body36_04	3399	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399							
1000038	名门闺秀	icon_clothes136	1			1	1	20035	body09_03	3199	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199							
1000039	婉约之美	icon_clothes137	1			1	1	20036	body09_04	3199	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199		1					
1000040	女神联动T恤	icon_clothes138	1			1	-1	20037	body05_03	2799	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799		1					
1000041	Rich Girl	icon_clothes139	1			1	1	20038	body05_04	2799	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799		1					
1000042	简约条纹	icon_clothes140	1			1	1	20039	body05_05	2799	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799							
1000043	Hey Boy	icon_clothes141	1			1	1	20040	body05_06	2799	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799							
30001	直发	icon_hair01	3				1	30005	hair01		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30009	双马尾	icon_hair08	3				1	30008	hair08		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30008	麻花辫	icon_hair09	3				1	30009	hair09		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30002	齐刘海马尾	icon_hair02	3				1	30002	hair05		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30003	长马尾	icon_hair03	3				1	30003	hair04		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30005	大波浪	icon_hair04	3				1	30004	hair06		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30004	波波头	icon_hair05	3				1	30001	hair03		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30007	短发	icon_hair06	3				1	30007	hair07		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30006	齐刘海长发	icon_hair07	3				1	30006	hair02		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30010	短碎发	icon_hair10	3				1	30010	hair10		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30011	双股麻花辫	icon_hair11	3				1	30011	hair11		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30012	丸子头	icon_hair12	3				1	30012	hair12		0	"Start,ChangeHair"			0	0	0	0	0	0	0					5		
30013	少女双马尾	icon_hair13	3				1	30013	hair13		0	"Start,ChangeHair"			0	0	0	0	0	0	0							
30014	长马尾02	icon_hair14	3				1	30014	hair14		0	"Start,ChangeHair"			0	0	0	0	0	0	0							
50001	默认	icon_ACC00	5				1	50002	ACC00		0															6		
50006	猫儿耳机	icon_ACC05	5				1	50007	ACC03	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50010	草帽	icon_ACC09	5				1	50010	ACC09	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50003	发箍	icon_ACC01	5				1	50003	ACC02	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50009	空姐帽	icon_ACC08	5			0	1	50009	ACC08	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50011	圣诞帽	icon_ACC10	5				1	50011	ACC10	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50004	口罩*萌	icon_ACC03	5				1	50008	ACC05	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50005	玫瑰	icon_ACC04	5				1	50004	ACC06	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50007	女仆头饰	icon_ACC06	5				1	50005	ACC04	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50002	兔耳朵	icon_ACC02	5			0	1	50001	ACC01	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50008	猫耳	icon_ACC07	5				1	50006	ACC07	2199	5	"Start,ChangeACC"			10000/10000	0	0	0	0	0	2199					6		
50009	头巾	icon_ACC12	5				1	50013	ACC13		5	"Start,ChangeACC"			10000/10000	0	0	0	0	0						6		
60001	光脚	icon_shoes00	6				1	60007	shoes00		0															7		
60012	圣诞鞋	icon_shoes11	6			0	1	60014	shoes11	1999	1	"Start,ChangeShoes"			5	0	0	0	0	0	1999							
60002	帆布鞋	icon_shoes01	6				1	60003	shoes02	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199					8		
60017	布鞋拖	icon_shoes17	6				1	60019	shoes14	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199					7		
60011	人字拖	icon_shoes10	6				1	60011	shoes10	1799	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	1799					7		
60009	布鞋	icon_shoes09	6				1	60010	shoes08	1599	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	1599					7		
60010	体操鞋	icon_shoes06	6				1	60009	shoes09	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199					8		
60025	黑色高跟布鞋	icon_shoes23	6				-1	60022	shoes21	3999	4	"Start,ChangeShoes"			3999						3999							
60003	红色皮鞋	icon_shoes02	6				1	60004	shoes05	1799	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	1799					7		
600003	黄色皮鞋	icon_shoes22	6				1	60024	shoes20	1799	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	1799					7		
600005	兔耳拖鞋	icon_shoes25	6				1	60027	shoes27	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199					7		
60013	马丁靴	icon_shoes12	6				1	60012	shoes12	1999	1	"Start,ChangeShoes"			20						1999							
60014	黑色鱼嘴鞋	icon_shoes13	6			0	1	60013	shoes13	1999	1	"Start,ChangeShoes"			23						1999							
60015	红色鱼嘴鞋	icon_shoes14	6				1	60015	shoes13_02	1999	1	"Start,ChangeShoes"			8						1999							
60016	蓝色鱼嘴鞋	icon_shoes15	6				1	60016	shoes13_03	1999	1	"Start,ChangeShoes"			18						1999							
60004	高跟鞋	icon_shoes03	6				1	60002	shoes03	3999	4	"Start,ChangeShoes"			3999						3999							
60005	松糕鞋	icon_shoes05	6			0	1	60005	shoes04	1999	1	"Start,ChangeShoes"			13						1999							
60006	细高跟鞋	icon_shoes04	6			0	1	60006	shoes06	1999	1	"Start,ChangeShoes"			27						1999							
60008	黑皮鞋	icon_shoes08	6				1	60008	shoes07	1999	1	"Start,ChangeShoes"			14						1999							
600006	学生皮鞋	icon_shoes26	6				1	60028	shoes28	1799	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	1799					7		
600007	塑胶拖鞋	icon_shoes27	6				1	60029	shoes29	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199							
600008	独角兽拖鞋	icon_shoes28	6				1	60030	shoes30	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199							
600009	小狗拖鞋	icon_shoes29	6				1	60031	shoes31	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199							
600010	花蕊拖鞋	icon_shoes30	6				1	60032	shoes32	2199	5	"Start,ChangeShoes"			10000/10000	0	0	0	0	0	2199							
70004	Nobody	icon_dance01	7				1	70004			0	"Start_DancingHall,Nobody"																
70001	热舞	icon_dance02	7				1	70002			0	"Start_DancingHall,hotDance"											1					
70002	劲舞	icon_dance03	7			0	1	70003			0	"Start_DancingHall,hotDance02"											1					
70003	钢管舞	icon_dance04	7				1	70001			0	"Start_DancingHall,poleDancing"											1					
70005	板凳舞	icon_dance05	7				1	70005			0	"Start_DancingHall,ChairDance"											1					
70006	极乐净土	icon_dance06	7				1	70006				"Start_DancingHall,jilejingtu"											1					
80000	100钻石	icon_coin01	8	2				90001				100	10	vgirl.6							0							
80001	150钻石	icon_coin01	8	1				90001				150	6	vgirl.6							0							
80002	750钻石	icon_coin02	8	1				90002				750	30	vgirl.30							12							
80007	1500钻石	icon_coin12	8	1				90003				1500	60	vgirl.60							24							
80003	2400钻石	icon_coin03	8	1				90003				2400	98	vgirl.98							36							
80004	4950钻石	icon_coin04	8	1				90004				4950	198	vgirl.198							48							
80005	8100钻石	icon_coin05	8	1				90005				8100	328	vgirl.328							60							
80006	16200钻石	icon_coin06	8	1				90006				16200	648	vgirl.648							72							
80010	600钻石	icon_coin07	8	2				90002				600	30															
80011	1000软妹币	icon_coin08	8	3				80001				1000	60															
80012	10000软妹币	icon_coin09	8	3				80004				10000	500															
80013	50000软妹币	icon_coin10	8	3				80005				50000	2300															
80014	100000软妹币	icon_coin11	8	3				80006				100000	4500															
90000	摘下美瞳	icon_circle09	90	4	3		1	eye_mt00			0		Eye00															
90001	丰胸剂	icon_item03	90	2	1			40003			5	"Start,ChangeChest"	1								348							
90002	平胸剂	icon_item04	90	2	1			40004			5	"Start,ChangeChest"	-1								348							
100001	黑色	icon_HairDye01	9				1	hair_rf_black			0	"speak_shop,Change_Haircolour"	"0,0,0"															
100002	深蓝色	icon_HairDye02	9				1	hair_rf_blue01			0	"speak_shop,Change_Haircolour"	"0,2,255"															
100003	皇家蓝	icon_HairDye03	9				1	hair_rf_blue02			0	"speak_shop,Change_Haircolour"	"0,107,255"															
100004	琉璃色	icon_HairDye04	9				1	hair_rf_blue03			0	"speak_shop,Change_Haircolour"	"0,160,255"															
100005	群青色	icon_HairDye05	9				1	hair_rf_blue04			0	"speak_shop,Change_Haircolour"	"109,194,255"															
100006	青色	icon_HairDye06	9				1	hair_rf_blue05			0	"speak_shop,Change_Haircolour"	"0,255,255"															
100007	鹅黄色	icon_HairDye07	9				1	hair_rf_gold01			0	"speak_shop,Change_Haircolour"	"250,252,142"															
100008	金黄色	icon_HairDye08	9				1	hair_rf_gold02			0	"speak_shop,Change_Haircolour"	"255,216,0"															
100009	芒果色	icon_HairDye09	9				1	hair_rf_gold03			0	"speak_shop,Change_Haircolour"	"246,152,2"															
100010	驼绒色	icon_HairDye10	9				1	hair_rf_gold04			0	"speak_shop,Change_Haircolour"	"269,88,9"															
100011	柠檬色	icon_HairDye11	9				1	hair_rf_gold05			0	"speak_shop,Change_Haircolour"	"255,255,36"															
100012	深灰色	icon_HairDye12	9				1	hair_rf_gray01			0	"speak_shop,Change_Haircolour"	"39,39,39"															
100013	灰色	icon_HairDye13	9				1	hair_rf_gray02			0	"speak_shop,Change_Haircolour"	"96,96,96"															
100014	奶奶灰	icon_HairDye14	9				1	hair_rf_gray03			0	"speak_shop,Change_Haircolour"	"186,186,186"															
100015	绿色	icon_HairDye15	9				1	hair_rf_green01			0	"speak_shop,Change_Haircolour"	"0,191,33"															
100016	翠绿色	icon_HairDye16	9				1	hair_rf_green02			0	"speak_shop,Change_Haircolour"	"0,255,128"															
100017	黄绿色	icon_HairDye17	9				1	hair_rf_green03			0	"speak_shop,Change_Haircolour"	"157,255,0"															
100018	竹绿色	icon_HairDye18	9				1	hair_rf_green04			0	"speak_shop,Change_Haircolour"	"91,223,0"															
100019	深绿色	icon_HairDye19	9				1	hair_rf_green05			0	"speak_shop,Change_Haircolour"	"0,92,8"															
100020	靛蓝色	icon_HairDye20	9				1	hair_rf_purple01			0	"speak_shop,Change_Haircolour"	"97,3,250"															
100021	洋红色	icon_HairDye21	9				1	hair_rf_purple02			0	"speak_shop,Change_Haircolour"	"244,1,151"															
100022	紫罗兰	icon_HairDye22	9				1	hair_rf_purple03			0	"speak_shop,Change_Haircolour"	"198,4,249"															
100023	粉红色	icon_HairDye23	9				1	hair_rf_purple04			0	"speak_shop,Change_Haircolour"	"251,39,255"															
100024	淡粉色	icon_HairDye24	9				1	hair_rf_purple05			0	"speak_shop,Change_Haircolour"	"251,113,210"															
100025	红色	icon_HairDye25	9				1	hair_rf_red01			0	"speak_shop,Change_Haircolour"	"255,0,0"															
100026	深红色	icon_HairDye26	9				1	hair_rf_red02			0	"speak_shop,Change_Haircolour"	"199,0,0"															
100027	褐色	icon_HairDye27	9				1	hair_rf_red03			0	"speak_shop,Change_Haircolour"	"88,0,0"															
100028	棕色	icon_HairDye28	9				1	hair_rf_red04			0	"speak_shop,Change_Haircolour"	"233,38,0"															
100029	橘红色	icon_HairDye29	9				1	hair_rf_red05			0	"speak_shop,Change_Haircolour"	"255,90,0"															
100030	白色	icon_HairDye30	9				1	hair_rf_white			0	"speak_shop,Change_Haircolour"	"255,255,255"															
110000	摘下眼镜	icon_glass09	10				1	50002	glass00		0	"speak_shop,Change_glass"									0					9		
110001	太阳镜	icon_glass01	10				1	110001	glass01		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110002	复古镜	icon_glass02	10				1	110002	glass02		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110003	圆框镜	icon_glass03	10				1	110003	glass03		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110004	蝙蝠镜	icon_glass04	10				1	110004	glass04		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110005	三角太阳镜	icon_glass05	10				1	110005	glass05		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110006	墨镜	icon_glass06	10				1	110006	glass06		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110007	心心	icon_glass07	10				1	110007	glass07		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110008	星星	icon_glass08	10				1	110008	glass08		5	"speak_shop,Change_glass"			1500/1500	0	0	0	0	0	348					9		
110010	眼罩	icon_glass10	10				1	110009	blinder		5															9		
120000	Pose00	icon_ViewAction99	11				1	girl01_stand01			0	"CharacterEditor,girl01_stand01"																
120001	Pose01	icon_ViewAction00	11				1	girl01_stand01_action01	viewaction00		0	"CharacterEditor,girl01_stand01_action01"																
120002	Pose02	icon_ViewAction01	11				1	girl01_stand01_action02	viewaction01		0	"CharacterEditor,girl01_stand01_action02"																
120003	Pose03	icon_ViewAction04	11				1	girl01_stand01_action03	viewaction04		0	"CharacterEditor,girl01_stand01_action03"																
120004	Pose04	icon_ViewAction09	11				1	girl01_stand01_action04	viewaction09		0	"CharacterEditor,girl01_stand01_action04"																
120005	Pose05	icon_ViewAction13	11				1	girl01_stand01_action05	viewaction13		0	"CharacterEditor,girl01_stand01_action05"																
120007	Pose07	icon_ViewAction32	11				1	girl01_stand01_action07	viewaction32		0	"CharacterEditor,girl01_stand01_action07"																
120010	Pose09	icon_ViewAction05	11				1	girl01_stand01_action10	viewaction05		0	"CharacterEditor,girl01_stand01_action10"																
120011	Pose10	icon_ViewAction08	11				1	girl01_stand01_action11	viewaction08		0	"CharacterEditor,girl01_stand01_action11"																
120012	Pose11	icon_ViewAction10	11				1	girl01_stand01_action12	viewaction10		0	"CharacterEditor,girl01_stand01_action12"																
120013	Pose12	icon_ViewAction11	11				1	girl01_stand01_action13	viewaction11		0	"CharacterEditor,girl01_stand01_action13"																
120014	Pose13	icon_ViewAction12	11				1	girl01_stand01_action14	viewaction12		0	"CharacterEditor,girl01_stand01_action14"																
120015	Pose14	icon_ViewAction15	11				1	girl01_stand01_action15	viewaction15		0	"CharacterEditor,girl01_stand01_action15"																
120016	Pose15	icon_ViewAction16	11				1	girl01_stand01_action16	viewaction16		0	"CharacterEditor,girl01_stand01_action16"																
120017	Pose16	icon_ViewAction17	11				1	girl01_stand01_action17	viewaction17		0	"CharacterEditor,girl01_stand01_action17"																
120018	Pose17	icon_ViewAction18	11				1	girl01_stand01_action18	viewaction18		0	"CharacterEditor,girl01_stand01_action18"																
120019	Pose18	icon_ViewAction20	11				1	girl01_stand01_action19	viewaction20		0	"CharacterEditor,girl01_stand01_action19"																
120020	Pose19	icon_ViewAction22	11				1	girl01_stand01_action20	viewaction22		0	"CharacterEditor,girl01_stand01_action20"																
120022	Pose20	icon_ViewAction26	11				1	girl01_stand01_action22	viewaction26		0	"CharacterEditor,girl01_stand01_action22"																
120024	Pose22	icon_ViewAction28	11				1	girl01_stand01_action24	viewaction28		0	"CharacterEditor,girl01_stand01_action24"																
120026	Pose23	icon_ViewAction30	11				1	girl01_stand01_ask	viewaction30		0	"CharacterEditor,girl01_stand01_ask"																
120027	Pose24	icon_ViewAction31	11				1	girl01_stand01_confused	viewaction31		0	"CharacterEditor,girl01_stand01_confused"																
120029	Pose26	icon_ViewAction35	11				1	girl01_stand01_idle02	viewaction35		0	"CharacterEditor,girl01_stand01_idle02"																
120030	Pose27	icon_ViewAction36	11				1	girl01_stand01_tiff	viewaction36		0	"CharacterEditor,girl01_stand01_tiff"																
120031	Pose28	icon_ViewAction37	11				1	girl01_stand01_unbelievable	viewaction37		0	"CharacterEditor,girl01_stand01_unbelievable"																
120032	Pose29	icon_ViewAction38	11				1	girl01_stand03_CatchFailure	viewaction38		0	"CharacterEditor,girl01_stand03_CatchFailure"																
120033	Pose30	icon_ViewAction39	11				1	girl01_stand03_disappoint02	viewaction39		0	"CharacterEditor,girl01_stand03_disappoint02"																
130000	表情00	icon_expression00	12					girl01_default	girl01_default	0	0	girl01_default									0							
130001	表情01	icon_expression01	12					girl01_smile	girl01_smile	0	0	girl01_smile									0							
130003	表情02	icon_expression02	12					girl01_amazed	girl01_amazed	0	0	girl01_amazed									0							
130004	表情03	icon_expression03	12					girl01_angery	girl01_angery	0	0	girl01_angery									0							
130005	表情04	icon_expression04	12					girl01_badsmile	girl01_badsmile	0	0	girl01_badsmile									0							
130009	表情08	icon_expression08	12					girl01_coquetry	girl01_coquetry	0	0	girl01_coquetry									0							
130012	表情11	icon_expression11	12					girl01_distressed	girl01_distressed	0	0	girl01_distressed									0							
130013	表情12	icon_expression12	12					girl01_encourage	girl01_encourage	0	0	girl01_encourage									0							
130014	表情13	icon_expression13	12					girl01_happy	girl01_happy	0	0	girl01_happy									0							
130016	表情15	icon_expression15	12					girl01_impatient	girl01_impatient	0	0	girl01_impatient									0							
130017	表情16	icon_expression16	12					girl01_injoy	girl01_injoy	0	0	girl01_injoy									0							
